index,lpToken,allocPoint,isRegular,token0,token0_name,token1,token1_name,volume_24h,lp_reward_fee_24h,TVL,Farm_Liquidity,1000000.0_daily_basic_earning_in_%,1000000.0_Mining_Reward,1000000.0_Mining_Reward_Annually
2.0,0x0eD7e52944161450477ee417DE9Cd3a859b14fD0,4000.0,1.0,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,Cake,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,4790000.0,8142.857142857143,122658123.68129478,113676152.6175757,0.006584975495701199,0.07902384918849335,28.843704953800074
3.0,0x58F876857a02D6762E0101bb5C46A8c1ED44Dc16,1100.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,0.0,0.0,179931916.60077563,169904414.16436553,0.006584975495701199,0.014581785581292497,5.322351737171761
4.0,0x28415ff2C35b65B9E5c7de82126b4015ab9d031F,50.0,1.0,0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47,ADA,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,977142.8571428572,1660.0,6441826.204857985,4911622.348300378,0.02230635269225128,0.019161725952803306,6.994029972773206
5.0,0xDd5bAd8f8b360d76d12FdA230F8BAF42fe0022CF,100.0,1.0,0x7083609fCE4d1d8Dc0C979AAb8c869Ea2C873402,DOT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,1122857.142857143,1910.0,7877098.302477635,6976719.023068129,0.02151603975667264,0.02840187476756053,10.366684290159593
6.0,0x824eb9faDFb377394430d2744fa7C42916DE3eCe,50.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xF8A0BF9cF54Bb92F17374d9e9A321E6a111a51bD,LINK,0.0,0.0,7626611.052849958,7019672.589038553,0.02151603975667264,0.014124876809737653,5.155580035554244
7.0,0x7EFaEf62fDdCCa950418312c6C91Aef321375A00,250.0,1.0,0x55d398326f99059fF775485246999027B3197955,USDT,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,7085714.285714285,12044.285714285714,268754326.08180565,244955210.0992913,0.004464909196908734,0.0023027950359106007,0.8405201881073693
8.0,0x3DcB1787a95D2ea0Eb7d00887704EeBF0D79bb13,10.0,1.0,0x4B0F1812e5Df2A09796481Ff14017e6005508003,TWT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,601428.5714285715,1022.8571428571429,1186061.7966617423,891582.985810444,0.04678994639671724,0.011976940818810147,4.371583398865703
9.0,0x7EB5D86FD78f3852a3e0e064f2842d45a3dB6EA2,50.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,XVS,435714.28571428574,741.4285714285714,2763876.2215969358,2341625.0799382064,0.01969853756545688,0.03389874227802184,12.373040931477972
10.0,0x74E4716E431f45807DCF19f284c7aA99F18a4fbc,250.0,1.0,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,ETH,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,5680000.0,9657.142857142857,39071824.966721386,35238101.14974102,0.02409958334855691,0.015629528559805473,5.704777924328998
11.0,0x61EB789d75A95CAa3fF50ed7E47b96c132fEc082,250.0,1.0,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,BTCB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,3211428.5714285714,5460.0,43051065.54538541,40321195.007359795,0.012394705854219604,0.013706874565755348,5.003009216500702
12.0,0xACF47CBEaab5c8A6Ee99263cfE43995f89fB3206,10.0,1.0,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,ALPHA,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,31584.285714285714,53.69285714285714,670778992.0746729,530270584.92487735,7.992637128624111e-06,4.264376405880516e-05,0.015564973881463884
13.0,0x16b9a82891338f9bA80E2D6970FddA79D1eb0daE,600.0,1.0,0x55d398326f99059fF775485246999027B3197955,USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0.0,0.0,544848.7329725692,526981.7140020675,7.992637128624111e-06,0.8902023095827015,324.92384299768605
14.0,0x03F18135c44C64ebFdCBad8297fe5bDafdBbdd86,50.0,1.0,0x1D2F0da169ceB9fC7B3144628dB156f3F6c60dBE,XRP,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,608571.4285714285,1034.2857142857142,6485180.324526545,6251336.322944287,0.013817779524919263,0.015621518893858884,5.701854396258493
15.0,0x014608E87AF97a054C9a49f81E1473076D51d9a3,50.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xBf5140A22578168FD562DCcF235E5D43A02ce9B1,UNI,470000.0,800.0,3758245.1186252907,3525645.6565660173,0.016812921151719246,0.025029994827423574,9.135948112009604
16.0,0x1BdCebcA3b93af70b58C41272AEa2231754B23ca,10.0,1.0,0xa2B726B1145A4773F68593CF171187d8EBe4d495,INJ,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,98080.0,167.14285714285714,83190442.03089523,69090021.42581381,0.0001985294923163855,0.0003232325659780155,0.11797988658197565
17.0,0xD8E2F8b6Db204c405543953Ef6359912FE3A88d6,10.0,1.0,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,SXP,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0.0,0.0,684318.3737309513,524200.1190996983,0.0001985294923163855,0.014863781462175565,5.425280233694081
18.0,0x133ee93FE93320e1182923E1a640912eDE17C90C,10.0,1.0,0x4BD17003473389A42DAF6a0a729f6Fdb328BbBd7,VAI,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,0.0,0.0,3149414.3060931484,2355049.4943828024,0.0001985294923163855,0.0067526209413156756,2.4647066435802216
19.0,0x66FDB2eCCfB58cF098eaa419e5EfDe841368e489,10.0,1.0,0x1AF3F329e8BE154074D8769D1FFa4eE058B1DBc3,DAI,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,201428.57142857142,341.42857142857144,10538673.905403938,8285992.950492109,0.0029589931583790512,0.0024397366652878258,0.8905038828300564
20.0,0x2354ef4DF11afacb85a5C7f98B624072ECcddbB1,100.0,1.0,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,2577142.8571428573,4380.0,135788498.44663945,125311640.0209494,0.0032020235982841917,0.0017936096365435818,0.6546675173384073
21.0,0x71b01eBdDD797c8E9E0b003ea2f4FD207fBF46cC,10.0,1.0,0x4338665CBB7B2485A8855A139b75D5e34AB0DB94,LTC,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0.0,0.0,1274121.8342768275,1217322.2186303167,0.0032020235982841917,0.010217449356059106,3.729369014961574
22.0,0xB2678C414ebC63c9CC6d1a0fC45f43E249B50fdE,10.0,1.0,0x78650B139471520656b9E7aA7A5e9276814a38e9,BTCST,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,71684.28571428571,121.86142857142856,697682.0899736525,611840.9098229342,0.007178106507168242,0.014055591551779536,5.130290916399531
