,exchange,hedge_type,base_currency,symbol,bid_price,ask_price,timestamp,borrow_rate,maker_fee,taker_fee,days_to_expiration,expiration_date,funding_rate,next_funding_rate_time
71,FTX,Delivery,BNB,BNB-0930,213.4,213.92,1655917761.285457,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
72,FTX,Perpetual,BNT,BNT-PERP,0.4925,0.493,1655917761.285465,0,0.02,0.07,inf,,-0.00025,2022-06-22 15:00:00+00:00
73,FTX,Delivery,BNTX,BNTX-0624,126.27,126.6,1655917761.285475,0,0.02,0.07,2.0,2022-06-24 20:00:00+00:00,,
74,FTX,Delivery,BNTX,BNTX-0930,126.28,126.54,1655917761.285485,0,0.02,0.07,100.0,2022-09-30 20:00:00+00:00,,
75,FTX,Perpetual,BOBA,BOBA-PERP,0.35,0.351,1655917761.285492,0,0.02,0.07,inf,,4.7e-05,2022-06-22 15:00:00+00:00
76,FTX,Delivery,BOLSONARO2022,BOLSONARO2022,0.291,0.3,1655917761.285502,0,0.02,0.07,104.0,2022-10-05 00:00:00+00:00,,
77,FTX,Perpetual,BRZ,BRZ-PERP,0.19229,0.19297,1655917761.285512,0,0.02,0.07,inf,,-0.000125,2022-06-22 15:00:00+00:00
78,FTX,Perpetual,BSV,BSV-PERP,62.97,63.02,1655917761.285519,0,0.02,0.07,inf,,-3.7e-05,2022-06-22 15:00:00+00:00
79,FTX,Delivery,BSV,BSV-0624,62.75,62.84,1655917761.285529,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
80,FTX,Delivery,BSV,BSV-0930,59.61,59.89,1655917761.285539,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
81,FTX,Perpetual,BTC,BTC-PERP,20220.0,20222.0,1655917761.285547,0,0.02,0.07,inf,,5e-06,2022-06-22 15:00:00+00:00
82,FTX,Delivery,BTC,BTC-MOVE-0622,538.0,570.0,1655917761.285557,0,0.02,0.07,0.0,2022-06-23 00:00:00+00:00,,
