index,lpToken,allocPoint,isRegular,token0,token0_name,token1,token1_name,volume_24h,lp_reward_fee_24h,TVL,Farm_Liquidity,average_daily_liquidity_of_pool_in_$,average_daily_trading_volume_of_pool_in_$,exchange_fee%,1000000.0_daily_basic_earning_in_$,1000000.0_daily_basic_earning_in_BPS,total_liquidity_pool_size_in_$,1000000.0_daily_mining_reward_in_BPS,1000000.0_daily_mining_reward_in_$,1000000.0_impermanent_loss_in_amount_to_short,token_zero_delta_exchange,token_zero_delta_hedge_type,token_zero_delta_base_currency,token_zero_delta_symbol,token_zero_delta_bid_price,token_zero_delta_timestamp,token_zero_delta_funding_rate,token_zero_delta_next_funding_rate_time,token_zero_delta_fee_rate,1000000.0_token_zero_delta_hedge_min_fees,token_one_delta_exchange,token_one_delta_hedge_type,token_one_delta_base_currency,token_one_delta_symbol,token_one_delta_bid_price,token_one_delta_timestamp,token_one_delta_funding_rate,token_one_delta_next_funding_rate_time,token_one_delta_fee_rate,1000000.0_token_one_delta_hedge_min_fees
2.0,0x0eD7e52944161450477ee417DE9Cd3a859b14fD0,4000.0,1.0,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,Cake,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,5744.29K,9.77K,115959.21K,106823.74K,115959.21K,5744.29K,0.17,83.5,0.83,106823.74K,7.76,775.54,-119705.09057814663,FTX,Perpetual,CAKE,CAKE-PERP,2.9325,1970-01-20 08:48:17,-1.8e-05,2022-06-15 10:00:00+00:00,0.02,20000.0,FTX,Perpetual,BNB,BNB-PERP,212.8625,1970-01-20 08:48:17,-2.5e-05,2022-06-15 11:00:00+00:00,0.02,20000.0
3.0,0x58F876857a02D6762E0101bb5C46A8c1ED44Dc16,1100.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,62777.14K,106.72K,171660.39K,161156.27K,171660.39K,62777.14K,0.17,618.09,6.18,161156.27K,1.42,141.81,-472156.0836178961,FTX,Perpetual,BNB,BNB-PERP,212.8625,1970-01-20 08:48:17,-2.5e-05,2022-06-15 11:00:00+00:00,0.02,20000.0,,,,,,,,,,
4.0,0x28415ff2C35b65B9E5c7de82126b4015ab9d031F,50.0,1.0,0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47,ADA,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,1604.29K,2.73K,6428.92K,4889.99K,6428.92K,1604.29K,0.17,367.1,3.67,4889.99K,1.77,177.47,-248385.3755866682,FTX,Perpetual,ADA,ADA-PERP,0.474495,1970-01-20 08:48:17,-1.4e-05,2022-06-15 10:00:00+00:00,0.02,20000.0,FTX,Perpetual,BNB,BNB-PERP,212.8625,1970-01-20 08:48:17,-2.5e-05,2022-06-15 11:00:00+00:00,0.02,20000.0
5.0,0xDd5bAd8f8b360d76d12FdA230F8BAF42fe0022CF,100.0,1.0,0x7083609fCE4d1d8Dc0C979AAb8c869Ea2C873402,DOT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,1177.14K,2.0K,7433.69K,6538.0K,7433.69K,1177.14K,0.17,237.14,2.37,6538.0K,2.77,277.33,-195912.824781354,FTX,Perpetual,DOT,DOT-PERP,7.153,1970-01-20 08:48:17,-4.5e-05,2022-06-15 10:00:00+00:00,0.02,20000.0,FTX,Perpetual,BNB,BNB-PERP,212.8625,1970-01-20 08:48:17,-2.5e-05,2022-06-15 11:00:00+00:00,0.02,20000.0
6.0,0x824eb9faDFb377394430d2744fa7C42916DE3eCe,50.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xF8A0BF9cF54Bb92F17374d9e9A321E6a111a51bD,LINK,1778.57K,3.02K,7225.37K,6583.47K,7225.37K,1778.57K,0.17,367.5,3.68,6583.47K,1.38,137.84,-135303.12306172863,FTX,Perpetual,BNB,BNB-PERP,212.8625,1970-01-20 08:48:17,-2.5e-05,2022-06-15 11:00:00+00:00,0.02,20000.0,FTX,Perpetual,LINK,LINK-PERP,6.4105,1970-01-20 08:48:17,-2.2e-05,2022-06-15 10:00:00+00:00,0.02,20000.0
7.0,0x7EFaEf62fDdCCa950418312c6C91Aef321375A00,250.0,1.0,0x55d398326f99059fF775485246999027B3197955,USDT,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,10961.43K,18.64K,267967.76K,243805.83K,267967.76K,10961.43K,0.17,69.29,0.69,243805.83K,0.21,21.35,,,,,,,,,,,,,,,,,,,,,
8.0,0x3DcB1787a95D2ea0Eb7d00887704EeBF0D79bb13,10.0,1.0,0x4B0F1812e5Df2A09796481Ff14017e6005508003,TWT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,408.57K,694.29,1179.38K,904.34K,1179.38K,408.57K,0.17,318.57,3.19,904.34K,1.1,109.78,-221793.12042994573,,,,,,,,,,,,,,,,,,,,
9.0,0x7EB5D86FD78f3852a3e0e064f2842d45a3dB6EA2,50.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,XVS,385.71K,654.29,2537.77K,2159.05K,2537.77K,385.71K,0.17,184.94,1.85,2159.05K,3.31,330.88,-54191.15034823443,,,,,,,,,,,,,,,,,,,,
